"ID","code","AGE","H","S","BA","Bio"
70,1,31,7.8,229.364661196455,5.16118512590408,10.1501488669783
71,1,25,7.8,366.451126002924,8.01000097913339,32.58931187775
72,1,46,7.9,390.557561884787,10.7835560533551,67.0139238891354
73,1,32,7.9,176.304409150191,4.20500213187585,19.2164315872285
74,1,25,7.9,421.58480826269,10.346148181205,54.4605283663948
75,1,77,8,416.103047022566,11.8978986025375,84.0273456507128
76,1,55,8,327.554224888741,8.69329738128916,55.4763553182767
77,1,52,8,1127.75828074559,31.7982681793169,204.819337496249
78,1,49,8,434.563385301855,10.8627241882256,58.3507932432615
79,1,30,8,475.3480511487,12.5345619887416,64.8110276920851
80,1,55,8.1,504.946567069949,14.7696971695232,106.604425729091
81,1,47,8.1,350.56464198587,8.5090822420643,42.7500889889775
82,1,20,8.1,103.550162546232,2.41063240039283,11.1562872422071
83,1,41,8.2,410.395122008059,10.7468877766015,57.7325960449156
84,1,30,8.2,473.003904710266,10.75416252709,46.957140226803
85,1,20,8.2,413.298837504712,9.56030017221771,38.2161728087511
86,1,19,8.2,348.083281437364,7.73896183129902,36.0417909269614
87,1,71,8.3,660.299536899703,18.0452730351378,93.4632633367779
88,1,66,8.3,802.608620501484,22.3454452033453,134.903293041442
89,1,59,8.3,330.428904517076,9.21676467107553,62.5958264197481
90,1,45,8.3,227.859344331745,6.14031156378055,43.801766139913
91,1,45,8.3,312.162486986767,7.40970152789463,39.851523791549
92,1,40,8.3,505.469575489441,12.4532263893873,66.5971727885483
93,1,42,8.4,214.823318026742,5.24144300072625,29.9031496822966
94,1,36,8.4,315.1973213253,7.43481463416926,40.5627815574183
95,1,85,8.5,464.814561549729,14.7194513220199,98.0611338611153
96,1,52,8.5,431.260029438879,10.9093964740855,57.0225392195971
97,1,50,8.5,297.699179088648,7.87080878962527,51.2562867462569
98,1,50,8.5,475.069662635613,13.1282051905455,77.9862219328561
99,1,45,8.5,254.20990716968,6.79505874269683,44.7171772527243
100,1,44,8.6,340.285485047217,8.95157556732242,52.305986768049
101,1,35,8.6,371.275205944416,8.94450112267152,51.3740751152952
102,1,30,8.6,375.225729434084,9.66727946119538,55.9088554069997
103,1,70,8.7,840.087393508976,22.6990868446609,142.98316608801
104,1,47,8.7,527.885003262506,12.4106390531542,66.9193813990261
105,1,45,8.7,611.692308069477,15.3477109478756,74.2377780817552
106,1,37,8.7,537.89828791741,14.6534582413404,85.3097326325942
107,1,32,8.7,402.482132689035,11.0342944170198,57.6940055375825
108,1,42,8.8,540.99073240138,13.6682725152451,73.2092089861841
109,1,35,8.8,548.423785096648,14.8614480374698,78.2673113946372
110,1,33,8.8,456.418523858368,11.6091343662267,64.9089129122722
111,1,25,8.8,280.784711806229,7.31750560098881,37.9180382328736
112,1,50,8.9,285.385338557757,7.66323787251637,52.2768441990175
113,1,43,8.9,145.300037678071,3.47522979340103,18.8692079194869
114,1,39,8.9,365.838319273023,9.69076613877332,59.6677575744057
115,1,75,9,262.663503040959,6.91055154262443,38.5476375648179
116,1,64,9,454.142909046592,11.3510847662261,63.4980736033631
117,1,41,9,858.110052011089,22.3083556542559,114.586920693156
118,1,37,9,438.104488261472,12.4046440425462,67.4654876126592
119,1,33,9,719.486314484142,17.5422313726621,20.4596076328527
120,1,25,9,394.614304591364,12.220138970268,67.2617109910278
121,1,20,9,338.177117994029,10.0821093340905,72.6312912001713
122,1,80,9.1,412.16740690293,12.6717710478871,90.5084268642788
123,1,47,9.1,780.64755401263,19.8066224885008,96.6957910852008
124,1,42,9.1,494.627874495486,14.0496243518369,84.2774560772028
125,1,41,9.1,490.497122942358,13.4592406989405,76.0761136542483
126,1,30,9.1,330.222110333613,8.62290607089467,45.4912644540833
127,1,90,9.2,510.723743197191,16.3337685245441,110.315467705601
128,1,40,9.2,372.455762474641,9.88191896177486,54.453618360328
129,1,26,9.3,342.378767270206,9.02024554674213,51.3905315362144
130,1,50,9.4,656.501149225487,16.3785165849036,90.7224984150635
131,1,40,9.5,627.013966159606,16.7273184542531,89.1121925210523
132,1,36,9.5,402.536195091381,10.850334532198,61.5956307402717
133,1,35,9.5,415.016735587434,10.8061362505528,62.847370524687
134,1,65,9.7,1263.93389227987,35.0846882542371,230.407533844041
135,1,40,9.7,310.555801275837,7.59321962624949,41.9665518632428
136,1,35,9.7,809.542836151392,20.8637585989567,102.893861220159
137,1,34,9.7,982.569421233055,24.5796099191949,126.360554758697
138,1,17,9.7,759.331469456183,20.9379983603519,142.220495676982
139,1,57,9.8,309.363006828146,9.12336178061152,63.7731551347708
140,1,52,9.8,390.010814585402,11.0656318037393,76.8090800021772
141,1,35,9.8,327.036409909161,8.6761757013271,49.3146350009381
142,1,45,9.9,476.419785880437,11.8043184113687,63.0799508386712
143,1,76,10,540.846070186885,17.0309840577329,126.505043119414
144,1,65,10,738.406870928871,21.0774556217401,128.559324727092
145,1,55,10,407.031718885874,10.6372461929912,67.7413443052037
146,1,40,10,262.703309483578,7.22917776003773,43.4557785726072
147,1,63,10.1,621.810871504805,19.1549116940513,147.040699089937
148,1,51,10.1,513.111753805733,13.6786514933626,84.0913518484215
149,1,50,10.1,442.62467216753,13.6659673130238,109.084704895352
150,1,32,10.1,837.022520470654,20.0259122007061,95.6750835547233
151,1,27,10.1,410.203671665558,10.8509432157746,64.1274446858809
152,1,55,10.2,448.224422906268,11.7046579294183,63.0528344175535
153,1,54,10.2,530.142245865971,15.0051300864787,96.5836145547896
154,1,46,10.2,494.898436509739,14.0592015204861,97.2424290173227
155,1,43,10.2,735.393421095328,19.2299242520721,100.75546665151
156,1,74,10.3,723.24697809732,20.2134994723439,102.348229033114
157,1,60,10.3,392.570757905262,10.7345373904821,69.0488493495333
158,1,60,10.3,550.961703987056,14.218995612303,80.1134288573495
159,1,49,10.3,486.588547954898,13.4848643140214,88.8450345160401
160,1,47,10.3,418.416776284029,11.1727699307038,71.0616574156538
161,1,45,10.3,464.503934718993,14.6280604282316,117.517305833946
162,1,38,10.4,404.969764913478,9.24879016036511,46.3807061634378
163,1,55,10.5,394.171311350845,12.0522980639844,93.3860723845277
164,1,50,10.5,333.322723191931,8.88448292921419,55.8235180622673
165,1,46,10.5,533.33204669338,13.5325627460265,73.4182343178141
166,1,38,10.5,803.361164498872,22.2522934644582,139.81345076181
167,1,21,10.5,651.824672384209,16.6124376103945,92.6475983236172
168,1,95,10.6,518.13641517511,16.9455740588766,115.457309750477
169,1,55,10.7,609.763576624179,15.0847890952013,91.3477744237317
170,1,48,10.7,710.875540171269,19.3985688727077,107.442221694226
171,1,43,10.7,460.83057799389,10.9492357959238,56.8969069932102
172,1,25,10.7,442.987001826116,12.391560618141,75.1242462653781
173,1,62,10.8,475.628962008315,13.3146096271509,82.7224114559852
174,1,40,10.8,460.108822821374,12.1722578159663,77.141840578228
175,1,76,10.9,553.612964645834,15.8373968852769,85.6023123828835
176,1,56,10.9,614.488515369028,18.4116085277398,133.993549866301
177,1,14,10.9,717.901172782561,19.1349892490715,101.403971360552
178,1,53,11,872.916139640746,26.1439020941844,152.127018494384
179,1,50,11,699.035456406609,19.9151645146823,126.060609382499
180,1,31,11,330.60423988035,8.60533278698865,52.3329813373842
181,1,47,11.1,499.778625590927,14.6171106688369,82.9656216010508
182,1,45,11.1,579.489317784548,18.6530493010567,147.242173670177
183,1,43,11.1,730.895712589129,21.8275513099289,159.942879726165
184,1,17,11.1,608.859637401767,15.2591965748607,57.0920812728892
185,1,52,11.2,575.652976681784,15.987005417927,103.302433249975
